filt template lum_sum ML
u 1 0.0447903147182748 22.3262552694677
u 2 789.565923895366 0.00126651869050585
u 3 2.29671499437333 0.435404480943381
u 4 0.139196876622334 7.18406924253894
u 5 6.57061071125594 0.152192854506953
g 1 0.123058338032995 8.12622708858523
g 2 227.025590990225 0.00440478976681996
g 3 2.18645009149632 0.457362371951348
g 4 0.201168721475671 4.97095170991052
g 5 3.86601297861824 0.258664418751489
r 1 0.25361040400433 3.94305590074659
r 2 113.615542264812 0.00880161270250535
r 3 2.02367950407174 0.4941493937098
r 4 0.259736019756362 3.85006284818725
r 5 2.94513509683242 0.339542997900344
i 1 0.407243033923157 2.45553617054304
i 2 63.4135832393065 0.0157694921011837
i 3 1.77913541879887 0.562070761693407
i 4 0.319467049857871 3.13021327377861
i 5 2.90305823251989 0.344464326894328
z 1 0.641096139658492 1.55982845339342
z 2 53.0827693060715 0.018838504717681
z 3 1.94370389432626 0.514481656860921
z 4 0.396588352577758 2.52150622553629
z 5 2.80463649302622 0.356552445383392
